"","Strain","env","Mean_GR","Std_err"
"82","LK2-E08","37SC3",0.25317434971693,0.00119221184145446
"83","LK2-E08","37SC5",0.270987120081422,0.00139841642445533
"84","LK2-E08","37SC7",0.21936507485035,0.000875301901175904
"85","LK2-F04","30SC3",0.188446580726029,0.00301954008538768
"86","LK2-F04","30SC5",0.263521577052478,0.00147027404322106
"87","LK2-F04","30SC7",0.213432246529238,0.00124436735303155
"88","LK2-F04","37SC3",0.303921411309382,0.00079345635400056
"89","LK2-F04","37SC5",0.345671158300853,0.00080667446064173
"90","LK2-F04","37SC7",0.0788498764966884,0.00373307131395515
"91","LK3-B08","30SC3",0.217562723897097,0.000644887819559741
"92","LK3-B08","30SC5",0.330156441406761,0.000569891097547796
"93","LK3-B08","30SC7",0.257483750370169,0.000609847107787677
"94","LK3-B08","37SC3",0.306848453890408,0.000601103051449997
"95","LK3-B08","37SC5",0.309768605153493,0.000791603122996634
"96","LK3-B08","37SC7",0.249403479543515,0.00082683282267703
"97","LK3-B10","30SC3",0.150945282407299,0.000981131843802396
"98","LK3-B10","30SC5",0.265898154178345,0.00125441307727858
"99","LK3-B10","30SC7",0.228820984696573,0.000717045105172558
"100","LK3-B10","37SC3",0.310299843534211,0.00139745767038373
"101","LK3-B10","37SC5",0.271390196469418,0.00153557163786478
"102","LK3-B10","37SC7",0.0415545899663077,0.00170856798046435
"103","LK3-C04","30SC3",0.170211910997576,0.00174006025324116
"104","LK3-C04","30SC5",0.326944657546024,0.00215705736559393
"105","LK3-C04","30SC7",0.239076693721015,0.00148965940145148
"106","LK3-C04","37SC3",0.23592191896265,0.00277836540956943
"107","LK3-C04","37SC5",0.30331117983858,0.0014636789509999
"108","LK3-C04","37SC7",0.229335243032328,0.00149933468461681
"109","LK3-C11","30SC3",0.149199581477808,0.00133565586914093
"110","LK3-C11","30SC5",0.242397143537715,0.00204957783550535
"111","LK3-C11","30SC7",0.16158206576083,0.00165296185558226
"112","LK3-C11","37SC3",0.287121708914312,0.000783492305577664
"113","LK3-C11","37SC5",0.319755910659901,0.00103765444630765
"114","LK3-C11","37SC7",0.101161215115506,0.0050645053098471
"115","LK3-C12","30SC3",0.0836424478109185,0.00204235931149802
"116","LK3-C12","30SC5",0.190037538296389,0.00145041561589671
"117","LK3-C12","30SC7",0.16466261481841,0.000845841901744745
"118","LK3-C12","37SC3",0.329188269787668,0.000522362281657534
"119","LK3-C12","37SC5",0.333001794379644,0.000941885082423949
"120","LK3-C12","37SC7",0.277767788670648,0.000711457848659778
"121","LK3-D01","30SC3",0.0496898880780732,0.00447348802735098
"122","LK3-D01","30SC5",0.141013065382798,0.0030713495909757
"123","LK3-D01","30SC7",0.17140542921199,0.000924300129418601
"124","LK3-D01","37SC3",0.343978675450173,0.000514686574883817
"125","LK3-D01","37SC5",0.331312031722272,0.000843774912245955
"126","LK3-D01","37SC7",0.201651641841346,0.00187342072352643
"127","LK3-G08","30SC3",0.15966771602032,0.00122254730810923
"128","LK3-G08","30SC5",0.267710510778425,0.00126533098226435
